"Feature ID","Feature Name","User Story","Expected Behaviour","Edge Cases","Validation Rules","Dependencies","Known Assumptions","Test Cases","Current Status","Defect Count","Severity","Notes","Last Tested Date"
"ORC-F011","Main orchestrator loop lifecycle","As an operator, I expect Orchestra to continuously reconcile, poll, select, dispatch, and process worker results through one state-owning fiber.","On startup the loop restores state, cleans terminal workspaces, emits start, enqueues immediate tick, reconciles, preflights, fetches candidates, plans dispatch, starts scoped workers, receives agent events and completions over a mailbox, and persists mutations.","Tracker error, preflight failure, worker failure, completion before max turns, completion at max turns, shutdown, command bus interruption.","Only the owner fiber mutates orchestrator state. Workers communicate by queue messages. Failures map to observations and retry/completion state.","Effect Queue/Fiber/Scope, ports, durable store, observer tee.","Exactly-once is structural within one process. External tracker writes are agent-owned.","Automated: `test/orchestrator-loop.test.ts`, `test/e2e-fake.test.ts`, `test/command-control.test.ts`, `pnpm check`.","Pass","0","None","Validated with fake tracker, fake agent, fake workspace, and TestClock.","2026-06-25"
"ORC-F012","Retry and continuation scheduling","As an operator, failed or incomplete work retries predictably without busy-looping or stranding issues.","Clean completion below `max_turns` schedules short continuation retry. Failures schedule exponential backoff capped by `max_retry_backoff_ms`. Retry timers can fire and re-dispatch. Stale timeout command races are dropped.","Attempt <= 0, very large attempts, cap below base, retry-now racing scheduled retry, max turns reached, retry issue no longer active.","Failure delay is capped `10000 * 2^(attempt-1)`. Continuation delay is 1000ms. Retry claims occupy issue slot until cleared or released.","Clock/TestClock, retry entries, workflow agent config.","Retries are issue-level, not tracker-state transitions.","Automated: `test/orchestrator-pure.test.ts`, `test/command-control.test.ts`, `test/orchestrator-loop.test.ts`, `pnpm check`.","Pass","0","None","Retry-now exactly-once race is covered.","2026-06-25"
"ORC-F013","Tracker reconciliation and stall handling","As an operator, Orchestra stops or updates sessions when tracker state changes or an agent stalls.","Each tick checks stalls before tracker state. Stalled workers are killed and retried. Terminal issues are killed, cleaned, and marked completed. Active issues update refs. Vanished or other-state issues are released without cleanup. Retrying issues reconcile by tracker state only.","Stall timeout <= 0, tracker refresh failure, terminal retrying issue, vanished running issue, active issue with updated labels, stall and terminal both true.","Stall detection uses monotonic last-event time and only runs when timeout > 0. Refresh failure leaves workers and retries untouched.","IssueTracker, worker registry, workspace manager, active/terminal states.","Terminal cleanup assumes terminal identifiers can be derived from tracker payloads.","Automated: `test/orchestrator-pure.test.ts`, `test/restore-reconcile.test.ts`, `pnpm check`.","Pass","0","None","Stall takes precedence by design.","2026-06-25"
"ORC-F014","Budget guardrail","As an operator, I can cap cumulative token spend so new dispatch pauses when the ceiling is reached.","Absent budget is inert. Configured budget projects limit/spent/remaining/paused and withholds new dispatch when total tokens are at or over ceiling. In-flight work, retries, and reconciliation continue.","No budget block, empty budget block, exactly at ceiling, over ceiling, budget raised or cleared by settings reload.","Budget ceiling must be positive integer. Remaining clamps at zero. Paused is pure from totals and config.","Agent usage totals, workflow budget config, LiveBudget mirror.","Spend only grows. Resume usually comes from config change.","Automated: `test/budget-pure.test.ts`, `test/budget-gate.test.ts`, `test/cross-feature.test.ts`. Live: state included budget block.","Pass","0","None","Budget pause and operator pause are separate.","2026-06-25"
"ORC-F015","Durable checkpoint persistence","As an operator, I can restart the daemon without losing authoritative bookkeeping.","State writes to `<workspace.root>/.orchestra/state.json` through a debounced writer, atomic temp+rename, restrictive POSIX modes, final flush on shutdown, versioned Schema JSON, and corruption rename-aside with clean start.","Missing file, corrupt JSON, IO write failure, unencodable `agent_rate_limits`, debounce/final-flush race, Windows mode behavior.","Checkpoint decodes via versioned Schema. Only `agent_rate_limits` can degrade to null on encode fault. State dir mode 0700 and file mode 0600 on POSIX.","FileSystem, Effect Scope, persistence config, store decorator.","Persistence failures are logged and do not crash teardown.","Automated: `test/persistence.test.ts`, `test/restore-reconcile.test.ts`, `pnpm check`.","Pass","0","None","Throwaway live workflow used temp paths.","2026-06-25"
"ORC-F016","Restart restore and optional session resume","As an operator, a daemon restart re-derives in-flight work safely and can optionally resume Copilot sessions.","Completed history, totals, and rate limits restore. Orphaned running issues become due-immediately continuation retries. Retry timers re-arm from wall-clock. Terminal/vanished issues reconcile before dispatch. `persistence.resume_sessions` controls whether session ids are passed to continuation dispatch.","Cold start, orphaned terminal, orphaned vanished, retry due in past/future, resume disabled, resume enabled but stale session fails.","Persisted state version must decode. Resume defaults false. Stale resume self-heals by retrying fresh.","Persistence, IssueTracker, AgentRunner, Clock, RestoreStatus.","Workspace on disk is the true progress record. Remote Copilot session continuity is not guaranteed.","Automated: `test/restore-reconcile.test.ts`, `test/domain.test.ts`, `pnpm check`.","Pass","0","None","No live Copilot session resume was attempted.","2026-06-25"
"ORC-F017","Observability and snapshot enrichment","As an operator, I can understand daemon activity through structured logs and cockpit state without unsafe payloads.","Observations format as one logfmt line with stable tags and status glyph vocabulary. Recent events, live activity, completions, budget, restore, rate limits, and control project additively into snapshots. Agent summaries are friendly and never echo payload text.","Unknown event tag, long messages, high-volume agent events, cold start restore absent, missing optional snapshot blocks, no-color env.","Truncation caps one-line fields. Phase mapping is exhaustive. Event rings are bounded. Additive fields omit when absent.","ObserverLive, observer tee, RecentEvents, LiveActivity, RecentCompletions, snapshot projection.","Snapshot v1 remains additive and older readers tolerate omitted fields.","Automated: glyph, observer, recent event, live activity, snapshot, and cross-feature tests. Live: state keys verified.","Pass","0","None","Live smoke verified `/api/v1/state` top-level keys.","2026-06-25"
"ORC-F018","GET /api/v1/state","As a cockpit user or local tool, I can read live fleet state without a token on loopback.","Endpoint returns `JSON.stringify(toSnapshot(...))` bytes for current store plus additive rings/status blocks. It is token-free but guarded by loopback Host check at server chokepoint.","Non-loopback Host, missing optional blocks, configured/unconfigured budget, no SPA build, tracker down while daemon up.","Read group has no bearer middleware. Server rejects non-loopback Host. Byte-compatible test pins serialization.","Cockpit HttpApi, OrchestratorStore, observability services, LiveBudget, ControlStatus, RestoreStatus.","Loopback local read access is acceptable for this local operator tool.","Automated: `test/cockpit-server.test.ts`. Live curl: 200 token-free. Browser smoke loaded Fleet from state.","Pass","0","None","Live state keys included counts, running, retrying, completed, totals, budget, events.","2026-06-25"
"ORC-F019","Static cockpit serving and token bootstrap","As an operator, I can open the cockpit in a browser and the SPA can authenticate mutations.","Server serves built `dist/cockpit` assets, falls back to token-injected `index.html`, escapes token content against script breakout, and returns graceful 404 when assets are absent.","Missing build dir, SPA route fallback, traversal attempt, malformed percent escape, token contains script terminator, built HTML should not contain token.","Asset paths resolve under static root or return null. Host must be loopback. Only served index bytes are rewritten.","Vite build output, CockpitToken, FileSystem, static handler.","Token is a per-process local operator secret, not a web account credential.","Automated: static, security, and server tests. Live curl: root 200 with injected token. Browser: tokenInjected=true.","Pass","0","None","Production build emitted assets before smoke.","2026-06-25"
"ORC-F020","GET /api/v1/settings","As an operator, I can inspect only safe editable workflow knobs in the cockpit settings form.","Endpoint returns whitelisted raw-front-matter settings: polling interval, agent concurrency/turn/backoff knobs, per-state caps, and budget ceiling. It never returns tracker, repo, api_key, hooks, workspace, copilot, persistence, or prompt body.","Missing front matter, invalid workflow file, absent budget ceiling, empty per-state map, raw `$VAR` outside whitelist.","Editable projection contains only `polling`, `agent`, and `budget`.","WorkflowFile service, FileSystem, ServiceConfig schema.","Token-free settings read is acceptable because it is loopback and secret-free.","Automated: settings tests. Live curl: keys were `polling,agent,budget`. Browser: no tracker/API-key text.","Pass","0","None","Settings read includes no secret-bearing keys.","2026-06-25"
"ORC-F021","PUT /api/v1/settings","As an operator, I can change safe live knobs from the cockpit and have them apply without disrupting in-flight work.","Typed sparse patch is validated, staged into a temp WORKFLOW.md, resolved, sent through `ReloadConfig`, and atomically committed only after owner fiber ack. Scalar existing-key edits preserve all other bytes. Structural edits are best-effort with compact arrays and empty parent pruning.","Negative values, no-op patch, clear budget with null, overlapping writes, gate timeout, missing workflow file, scalar edit with aligned comments, structural comment normalization.","All numeric values are positive integers except blank/null budget clears ceiling. Patch schema is the HTTP boundary. Write is validate, gate, rename.","WorkflowFile, CommandBus, FileSystem, LiveBudget, owner-fiber config ref.","Only whitelisted knobs are hot-applicable. Structural config still requires restart or manual edit.","Automated: `test/settings.test.ts`, `test/cockpit-settings.test.ts`, server tests, `pnpm check`.","Pass","1","Low","DEF-001 fixed: invalid-patch test used `as any` and stale Biome suppression. It now decodes unknown payload through `SettingsPatch`.","2026-06-25"
"ORC-F022","Pause dispatch endpoint","As an operator, I can pause new dispatch from Fleet or Settings without killing running work.","Authorized pause sends `PauseDispatch` through CommandBus, owner fiber sets operator latch, snapshot control shows paused by operator, and in-flight workers/retries/reconcile continue.","Already paused, no running sessions, budget also paused, command bus interrupted, no token, cross-origin request.","Mutation requires bearer token plus loopback Origin/Host. Command result is acked by owner fiber or service unavailable.","Cockpit API client/server, CommandBus, ControlStatus, dispatch gate.","Pause affects new dispatch only and is runtime-only.","Automated: command-control, pause-control, client tests. Live curl: 401 no token, 403 cross-origin, 200 authorized. Browser saw Dispatch control.","Pass","0","None","Fleet now exposes dispatch control.","2026-06-25"
"ORC-F023","Resume dispatch endpoint","As an operator, I can resume operator-paused dispatch while budget pauses remain respected.","Authorized resume clears only operator latch. Snapshot control is omitted or clear when nothing pauses dispatch. Budget pauses continue to hide resume toggle and require budget change.","Not paused, paused by budget, command bus interrupted, stale cockpit poll, no token, cross-origin request.","Same auth as all mutations. UI derives budget pause as non-clearable. Dispatch still subject to budget after resume.","CommandBus, ControlStatus, BudgetStatus, API client.","Resume cannot clear a budget pause by design.","Automated: command-control and pause-control tests. Live curl authorized resume returned unpaused state.","Pass","0","None","Pause and resume verified against built daemon.","2026-06-25"
"ORC-F024","Retry-now endpoint","As an operator, I can fire a pending retry immediately from Kanban when I want to accelerate a backing-off issue.","Authorized retry-now accepts a retrying issue, removes or re-arms pending backoff, and dispatches exactly once if eligible. Unknown or ineligible ids return accepted false with reason.","Unknown id, issue no longer retrying, scheduled RetryDue race, tracker now terminal, no token, encoded slash/space in id.","Client URL-encodes issue id. Owner fiber serializes command and race. Mutation auth required.","CommandBus, retry map, IssueTracker, API client, Kanban cards.","Retry-now does not move tracker state.","Automated: `test/command-control.test.ts`, `test/cockpit-client.test.ts`, `test/cockpit-kanban.test.ts`.","Pass","0","None","Live smoke did not create a retrying issue. Automated tests cover behavior and race.","2026-06-25"
"ORC-F025","Cancel session endpoint","As an operator, I can cancel a specific running session from Kanban without affecting other workers.","Authorized cancel interrupts only named worker, releases registry/claim state, emits cancellation observation, and returns accepted true. Unknown or non-running ids return accepted false with reason.","Unknown id, issue retrying not running, multiple workers active, repeated cancel, stale card, no token, cross-origin request.","Client URL-encodes id. UI requires inline confirm. Mutation auth required. Owner fiber serializes state mutation.","CommandBus, worker registry, API client, Kanban view.","Cancel stops an Orchestra worker and does not write tracker state.","Automated: command-control, client, and Kanban tests. Browser smoke verified Kanban route and columns.","Pass","0","None","Kanban cancel has 4s two-click confirm window.","2026-06-25"
"ORC-F026","Cockpit API client and errors","As the SPA, I can call cockpit endpoints through a typed fetch wrapper and show useful errors to operators.","GET calls are token-free. POST/PUT attach bearer token when present. JSON bodies set content type. Issue ids encode in paths. Non-2xx and network failures become `ApiError`. `describeError` maps common codes to guidance.","No token, wrong token, network failure, 503 owner timeout, empty response, server repeats guidance.","Only mutating verbs carry auth. Error code/message/detail are stable. Server detail is appended only when useful.","Browser fetch, injected `window.__ORCHESTRA_COCKPIT_TOKEN__`, API wire types.","Client is DOM-free except optional token global access, enabling Node tests.","Automated: client and error tests. Live curl and browser smoke.","Pass","0","None","Browser smoke confirmed token bootstrap visible to SPA.","2026-06-25"
"ORC-F027","Cockpit polling","As a cockpit user, I see fresh data when available and stale-but-present data when polling fails.","Poller starts immediately, never overlaps requests, retains last successful value, flips connecting to live, flips to stale after post-success failures, stays connecting on initial failure, and stops cleanly.","Slow fetch, rejected fetch, first poll failure, unmount with in-flight request, app interval fixed.","Next timeout schedules only after fetch settles. Stopped poller ignores late results.","Browser timers, API client, React `usePolling`.","`COCKPIT_POLL_MS` is fixed at 2000ms.","Automated: `test/cockpit-poller.test.ts`. Browser smoke used real polling.","Pass","0","None","No overlap covered by unit test.","2026-06-25"
"ORC-F028","App shell routing and keyboard navigation","As a cockpit user, I can move among Fleet, Kanban, Events, and Settings with links or `g` shortcuts.","Hash routes parse case-insensitively. Unknown or empty routes default to Fleet. Nav links update hash without full reload. Active link gets `aria-current`. Shortcuts use `g` then route key within 1200ms and do not hijack editable fields.","Unknown hash, modified click, expired prefix, route key while input focused, mobile nav overflow.","Routes are limited to fleet, kanban, events, settings. Shortcuts derive from route map.","React, hashchange listener, AppShell, useKeyboardShortcuts.","No command palette is implemented. Current shortcut scope is navigation only.","Automated: router/design tests. Browser smoke clicked routes at desktop and verified mobile nav links.","Pass","0","None","Browser smoke verified `#/kanban`, `#/events`, and `#/settings`.","2026-06-25"
"ORC-F029","Fleet screen","As an operator, I can inspect fleet health, running sessions, spend, restore state, rate limits, and dispatch control from the default screen.","Fleet polls state, shows connection banner, dispatch control, metrics, running sessions table, totals, and optional budget/restore/rate-limit panels.","No first snapshot, no running sessions, unknown phase, unparseable times, absent additive blocks, long workspace path, stale poll.","Unknown phases show honest drift badge. Times use sentinel instead of fake zero. Tables scroll horizontally when needed.","`toFleetView`, Poller, StatusChip, DispatchControl, snapshot wire.","Fleet is default cockpit route.","Automated: fleet and cross-feature tests. Browser smoke verified Fleet loaded with no overflow.","Pass","0","None","First-snapshot placeholder now tells operator to start daemon if needed.","2026-06-25"
"ORC-F030","Kanban screen","As an operator, I can view issues by Orchestra state and act on running/retrying work without implying tracker drag/drop.","Kanban derives Claimed, Running, Retrying, Completed columns. Claimed is count-only. Running cards expose confirmed Cancel. Retrying cards expose Retry now. Completed cards are non-actionable. Action state keys by session instance.","Claimed count lower than running plus retrying, empty columns, completed rich block absent, action rejected, action throws, issue reappears with new started_at.","Pending claimed count clamps at zero. Action-state map prunes stale keys. Cancel requires second click within 4000ms.","`toKanban`, API client, StatusChip, snapshot counts/running/retrying/completed.","Drag/drop is unsupported because Orchestra does not write tracker state.","Automated: Kanban tests. Browser smoke verified four columns.","Pass","0","None","Claimed count-only limitation is documented in UI and docs.","2026-06-25"
"ORC-F031","Events screen","As an operator, I can review recent daemon events and filter them quickly.","Events polls state, reverses append-only recent events to newest-first, shows glyph/time/kind/identifier/message, and filters by level, kind, and free-text query.","No events, all filtered out, unparseable timestamp, missing identifier, many event kinds.","Level filter is all/info/warn. Kind all bypasses kind filter. Search covers message and identifier.","`toEventsView`, `filterEvents`, RecentEvents snapshot field, Poller.","Events ring is bounded and not a forensic log.","Automated: events tests. Browser smoke verified three filter controls and no overflow.","Pass","0","None","Dummy-token live run produced tracker_error events; route smoke focused on UI structure.","2026-06-25"
"ORC-F032","Settings screen","As an operator, I can edit safe live knobs and understand each knob without exposing secrets.","Settings loads editable settings, renders numeric controlled inputs with hints, validates before save, sends sparse patches, updates baseline after successful save, shows saved/error messages, and embeds DispatchControl. It never renders tracker/API-key data.","Settings load failure, save failure, invalid number, blank budget ceiling, no per-state caps, no-op save, budget-paused control.","All numeric fields must be whole numbers > 0 except blank max total tokens clears budget. `aria-invalid` and alerts surface errors.","GET/PUT settings endpoints, `validateSettings`, API client, DispatchControl.","Adding new per-state rows is not implemented. Existing rows are editable when present.","Automated: cockpit-settings and workflow-file tests. Browser smoke verified five numeric fields and no tracker/API-key text.","Pass","0","None","Save button is disabled while invalid or saving.","2026-06-25"
"ORC-F033","Cockpit design, accessibility, and responsive behavior","As an operator, I can use the cockpit on dark screens, high-contrast preferences, reduced-motion preferences, desktop, and narrow mobile widths.","Cockpit uses shared CSS tokens for statuses, surfaces, text, borders, focus, motion, spacing, and mono/sans typography. Color is never the only status signal. Nav wraps. Tables scroll. Narrow viewport adjusts padding/nav. Controls use semantic elements.","Low contrast, reduced motion, narrow viewport, long tables, status chip duplication, destructive action misclick.","Default text and border contrast is raised. `prefers-contrast` reinforces further. `prefers-reduced-motion` disables transitions. Controls are real buttons, inputs, selects, and links.","CSS tokens, glyph vocabulary, React views.","No shadcn components are installed. Source-owned primitives are the active design system.","Automated: cockpit-design tests. Browser smoke desktop 1280 and mobile 390 with no horizontal overflow.","Pass","0","None","Dirty working-tree changes remediate the earlier contrast/responsive/hierarchy critique.","2026-06-25"
"ORC-F034","Preflight and typed errors","As an operator, I get clear failures for unsupported or incomplete runtime config before dispatch starts.","Preflight rejects unsupported tracker kind, missing GitHub repo, and missing API key. Errors are typed with unique tags. CLI, workflow, tracker, agent, and workspace failures use discriminable classes and avoid secret payloads.","Missing kind, unsupported kind, missing repo, missing API key, structural equality, exhaustive switch over union.","Preflight validates support/presence after lenient config decode. Every sample error tag is unique.","ServiceConfig, error classes, Effect error channel.","Workflow decode stays lenient. Preflight enforces dispatch readiness.","Automated: preflight and error tests. Live dummy token produced safe structured tracker error.","Pass","0","None","No secret values were reproduced in this inventory.","2026-06-25"
"ORC-F035","Build and distribution artifact","As a maintainer, I can produce a runnable daemon bundle and served cockpit assets with one build command.","`pnpm build` runs `tsup` for `dist/cli/main.js` and `vite build` for `dist/cockpit/index.html` plus hashed assets. The daemon locates the built cockpit relative to bundle and serves it on `--port`.","Missing dist cockpit, source maps, static route fallback, asset hash changes, build output cleanup.","Typecheck/lint/test should pass before build. Vite output root is `dist/cockpit`. tsup target is Node 22.","tsup, Vite, React plugin, package scripts, dist directory.","Package is private and was not published during this loop.","Automated/build: `pnpm check && pnpm build`. Live: built daemon served API and SPA. Browser: served SPA loaded.","Pass","0","None","Build emitted CLI bundle, cockpit HTML, CSS, JS, and source maps.","2026-06-25"
"ORC-F036","React Doctor hard quality gate","As a maintainer, I can require every change to keep React Doctor at 100/100 so React code quality regressions fail locally and in CI.","`pnpm doctor:score` runs the pinned React Doctor scanner and fails unless the JSON report has score 100 and zero diagnostics. `pnpm check` includes that score gate. CI also runs the local score gate, while the dedicated React Doctor workflow scans the full project with warning-level blocking and fails when the action score output is not exactly 100.","Score API unavailable or empty, React Doctor diagnostics, full-scope PR scan, pnpm policy exceptions, Vite HTML entry reachability false positive.","Score must equal numeric 100 and total diagnostics must equal 0. GitHub Action score output must be `100`. React Doctor version is pinned to 0.5.8. Workflow uses `blocking: warning` and `scope: full`.","`react-doctor`, `doctor.config.json`, `scripts/check-react-doctor.mjs`, GitHub Actions, pnpm, React/Vite cockpit.","React Doctor 0.5.8 does not follow the Vite `src/cockpit/index.html` entry into `src/cockpit/main.tsx`, so only `deslop/unused-file` is ignored for `src/cockpit/**`; every other cockpit diagnostic still counts.","Automated: `pnpm doctor:score`, `pnpm check`, React Doctor workflow config. Live: built daemon smoke after gate changes.","Pass","0","None","Frozen install passes with pnpm release-age and trust policies active. React Doctor reports 100/100 locally.","2026-06-25"
